lineage,old_label,new_label,N
TNKILC,cTNI07 (CD4+ CXCL13+),Tplzf-gdlike-prolif,2
TNKILC,cTNI25 (NK XCL1+),Tcd4-IL7R,9
TNKILC,cTNI23 (NK CD16A+),Tplzf-gdlike-prolif,1
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd4-Treg,11
TNKILC,cTNI19 (gd-like T prolif),Tcd4-CXCL13,19
TNKILC,cTNI18 (gd-like T PDCD1+),Tcd4-Treg,16
TNKILC,cTNI19 (gd-like T prolif),Tcd4-Treg,1
TNKILC,cTNI26 (ILC3),NK-XCL1,4
TNKILC,cTNI25 (NK XCL1+),Tcd8-gdlike,1
TNKILC,cTNI22 (cTNI22),Tcd4-Treg,2
TNKILC,cTNI23 (NK CD16A+),Tcd8-GZMK,1
TNKILC,cTNI26 (ILC3),Tcd4-Treg,1
TNKILC,cTNI22 (cTNI22),NK-XCL1,6
TNKILC,cTNI19 (gd-like T prolif),Tplzf-gdlike,18
TNKILC,cTNI21 (PLZF+ T prolif),Tcd4-IL7R,1
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tcd4-Treg,7
TNKILC,cTNI24 (NK GZMK+),Tcd4-CXCL13,2
TNKILC,cTNI19 (gd-like T prolif),Tcd8-GZMK,5
TNKILC,cTNI18 (gd-like T PDCD1+),ILC3,10
TNKILC,cTNI19 (gd-like T prolif),ILC3,4
TNKILC,cTNI18 (gd-like T PDCD1+),Tcd4-IL7R,6
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tcd4-TFH,6
TNKILC,cTNI03 (CD4+ IL7R+HSP+),Tcd8-CXCL13-LAG3,2
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tcd4-TFH,34
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tcd8-CXCL13-prolif,10
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd8-gdlike,5
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),NK-XCL1,2
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tplzf-gdlike,7
TNKILC,cTNI09 (CD4+ Treg prolif),Tcd8-gdlike,1
TNKILC,cTNI09 (CD4+ Treg prolif),Tcd8-CXCL13-LAG3,5
TNKILC,cTNI26 (ILC3),Tcd8-HOBIT,2
TNKILC,cTNI08 (CD4+ Treg),Tplzf-gdlike,2
TNKILC,cTNI22 (cTNI22),Tcd8-gdlike,1
TNKILC,cTNI08 (CD4+ Treg),Tcd8-gdlike,3
TNKILC,cTNI25 (NK XCL1+),Tcd8-HOBIT,3
TNKILC,cTNI07 (CD4+ CXCL13+),Tplzf-gdlike,1
TNKILC,cTNI23 (NK CD16A+),Tcd4-CXCL13,1
TNKILC,cTNI25 (NK XCL1+),Tplzf-gdlike-prolif,2
TNKILC,cTNI04 (CD4+ IL7R+CCL5+),Tcd8-CXCL13-prolif,2
TNKILC,cTNI07 (CD4+ CXCL13+),NK-CD16,2
TNKILC,cTNI08 (CD4+ Treg),Tcd8-CXCL13-prolif,3
TNKILC,cTNI23 (NK CD16A+),ILC3,4
TNKILC,cTNI25 (NK XCL1+),Tcd8-CXCL13-LAG3,1
TNKILC,cTNI21 (PLZF+ T prolif),Tcd8-HOBIT,1
TNKILC,cTNI02 (CD4+ IL7R+SELL+),NK-CD16,1
TNKILC,cTNI01 (CD4+ IL7R+),Tcd8-CXCL13-prolif,1
TNKILC,cTNI22 (cTNI22),Tcd4-TFH,1
TNKILC,cTNI23 (NK CD16A+),Tcd8-HOBIT,2
TNKILC,cTNI01 (CD4+ IL7R+),NK-CD16,5
TNKILC,cTNI01 (CD4+ IL7R+),NK-XCL1,2
TNKILC,cTNI12 (CD8+ IL7R+),Tcd4-TFH,8
TNKILC,cTNI01 (CD4+ IL7R+),Tplzf-gdlike-prolif,1
TNKILC,cTNI12 (CD8+ IL7R+),Tcd8-CXCL13-prolif,4
